Ano,Mes,Mes_num,Dia,Usuarios_AM,Usuarios_PM
2022,enero,1,3,59,50
2022,enero,1,4,59,52
2022,enero,1,5,57,53
2022,enero,1,6,56,45
2022,enero,1,7,54,44
2022,enero,1,11,84,71
2022,enero,1,12,93,63
2022,enero,1,13,85,84
2022,enero,1,14,77,61
2022,enero,1,17,101,91
2022,enero,1,18,118,81
2022,enero,1,19,117,91
2022,enero,1,20,113,107
2022,enero,1,21,165,155
2022,enero,1,24,136,120
2022,enero,1,25,142,138
2022,enero,1,26,144,131
2022,enero,1,27,151,121
2022,enero,1,28,146,105
2022,enero,1,31,151,166
2022,febrero,2,1,135,137
2022,febrero,2,2,162,158
2022,febrero,2,3,171,149
2022,febrero,2,4,175,161
2022,febrero,2,7,189,175
2022,febrero,2,8,171,154
2022,febrero,2,9,157,159
2022,febrero,2,10,173,159
2022,febrero,2,11,163,139
2022,febrero,2,14,164,149
2022,febrero,2,15,169,145
2022,febrero,2,16,160,141
2022,febrero,2,17,153,145
2022,febrero,2,18,150,120
2022,febrero,2,21,159,133
2022,febrero,2,22,166,142
2022,febrero,2,23,165,135
2022,febrero,2,24,165,143
2022,febrero,2,25,159,124
2022,febrero,2,28,164,125
2022,marzo,3,1,156,143
2022,marzo,3,2,173,125
2022,marzo,3,3,169,144
2022,marzo,3,4,158,149
2022,marzo,3,7,176,151
2022,marzo,3,8,177,156
2022,marzo,3,9,176,152
2022,marzo,3,10,170,151
2022,marzo,3,11,167,138
2022,marzo,3,14,171,169
2022,marzo,3,15,163,172
2022,marzo,3,16,195,174
2022,marzo,3,17,172,153
2022,marzo,3,18,155,122
2022,marzo,3,22,167,160
2022,marzo,3,23,172,146
2022,marzo,3,24,180,155
2022,marzo,3,25,159,137
2022,marzo,3,28,173,164
2022,marzo,3,29,176,146
2022,marzo,3,30,170,143
2022,marzo,3,31,179,112
2022,abril,4,1,177,172
2022,abril,4,4,169,153
2022,abril,4,5,173,146
2022,abril,4,6,156,150
2022,abril,4,7,171,161
2022,abril,4,8,130,68
2022,abril,4,11,59,61
2022,abril,4,12,67,51
2022,abril,4,13,57,41
2022,abril,4,18,164,157
2022,abril,4,19,177,150
2022,abril,4,20,171,173
2022,abril,4,21,170,150
2022,abril,4,22,154,142
2022,abril,4,25,168,162
2022,abril,4,26,165,150
2022,abril,4,27,156,160
2022,abril,4,28,164,163
2022,abril,4,29,166,140
2022,mayo,5,2,154,146
2022,mayo,5,3,158,163
2022,mayo,5,4,166,134
2022,mayo,5,5,170,156
2022,mayo,5,6,153,133
2022,mayo,5,9,165,162
2022,mayo,5,10,168,166
2022,mayo,5,11,172,165
2022,mayo,5,12,167,168
2022,mayo,5,13,149,147
2022,mayo,5,16,161,152
2022,mayo,5,17,182,163
2022,mayo,5,18,179,161
2022,mayo,5,19,176,152
2022,mayo,5,20,170,159
2022,mayo,5,23,161,174
2022,mayo,5,24,178,162
2022,mayo,5,25,174,155
2022,mayo,5,26,173,154
2022,mayo,5,27,161,150
2022,mayo,5,31,173,122
2022,junio,6,1,154,166
2022,junio,6,2,161,164
2022,junio,6,3,171,153
2022,junio,6,6,174,154
2022,junio,6,7,170,163
2022,junio,6,8,173,154
2022,junio,6,9,162,145
2022,junio,6,10,155,123
2022,junio,6,13,155,142
2022,junio,6,14,164,142
2022,junio,6,15,165,150
2022,junio,6,16,155,139
2022,junio,6,17,158,132
2022,junio,6,21,148,142
2022,junio,6,22,144,124
2022,junio,6,23,146,135
2022,junio,6,24,134,113
2022,junio,6,28,158,121
2022,junio,6,29,131,142
2022,junio,6,30,147,137
2022,julio,7,1,177,147
2022,julio,7,5,160,152
2022,julio,7,6,162,151
2022,julio,7,7,164,148
2022,julio,7,8,157,139
2022,julio,7,11,171,138
2022,julio,7,12,175,232
2022,julio,7,13,167,136
2022,julio,7,14,163,147
2022,julio,7,15,153,130
2022,julio,7,18,159,131
2022,julio,7,19,166,129
2022,julio,7,21,154,139
2022,julio,7,22,169,128
2022,julio,7,25,172,142
2022,julio,7,26,176,140
2022,julio,7,27,172,146
2022,julio,7,28,176,154
2022,julio,7,29,167,142
2022,agosto,8,2,167,149
2022,agosto,8,3,180,153
2022,agosto,8,4,156,145
2022,agosto,8,5,153,122
2022,agosto,8,8,169,144
2022,agosto,8,9,152,148
2022,agosto,8,10,166,144
2022,agosto,8,11,162,150
2022,agosto,8,12,154,118
2022,agosto,8,16,155,142
2022,agosto,8,17,169,141
2022,agosto,8,18,166,129
2022,agosto,8,19,166,126
2022,agosto,8,22,169,150
2022,agosto,8,23,167,158
2022,agosto,8,24,159,159
2022,agosto,8,25,159,142
2022,agosto,8,26,148,135
2022,agosto,8,29,161,140
2022,agosto,8,30,177,136
2022,agosto,8,31,161,129
2022,septiembre,9,1,157,148
2022,septiembre,9,2,159,137
2022,septiembre,9,5,153,146
2022,septiembre,9,6,167,146
2022,septiembre,9,7,174,149
2022,septiembre,9,8,167,144
2022,septiembre,9,9,166,140
2022,septiembre,9,12,152,142
2022,septiembre,9,13,158,140
2022,septiembre,9,14,168,130
2022,septiembre,9,15,164,140
2022,septiembre,9,16,150,120
2022,septiembre,9,19,169,161
2022,septiembre,9,20,166,162
2022,septiembre,9,21,161,149
2022,septiembre,9,22,168,172
2022,septiembre,9,23,162,142
2022,septiembre,9,26,164,146
2022,septiembre,9,27,158,145
2022,septiembre,9,28,169,144
2022,septiembre,9,29,171,160
2022,septiembre,9,30,185,144
2022,octubre,10,1,175,147
2022,octubre,10,3,157,144
2022,octubre,10,4,168,154
2022,octubre,10,5,159,156
2022,octubre,10,6,165,154
2022,octubre,10,7,153,127
2022,octubre,10,10,151,151
2022,octubre,10,11,162,151
2022,octubre,10,12,146,144
2022,octubre,10,13,155,141
2022,octubre,10,14,147,142
2022,octubre,10,18,158,148
2022,octubre,10,19,165,151
2022,octubre,10,20,149,125
2022,octubre,10,21,137,141
2022,octubre,10,24,163,143
2022,octubre,10,25,155,154
2022,octubre,10,26,166,152
2022,octubre,10,27,170,154
2022,octubre,10,28,164,157
2022,noviembre,11,2,164,161
2022,noviembre,11,3,154,135
2022,noviembre,11,4,156,139
2022,noviembre,11,8,158,146
2022,noviembre,11,9,163,142
2022,noviembre,11,10,152,142
2022,noviembre,11,11,161,159
2022,noviembre,11,15,167,143
2022,noviembre,11,16,158,155
2022,noviembre,11,17,163,158
2022,noviembre,11,18,161,152
2022,noviembre,11,21,175,161
2022,noviembre,11,22,176,168
2022,noviembre,11,23,160,149
2022,noviembre,11,24,165,163
2022,noviembre,11,25,158,163
2022,noviembre,11,28,161,152
2022,noviembre,11,29,156,168
2022,noviembre,11,30,160,360
2022,noviembre,10,31,156,140
2022,diciembre,12,1,158,152
2022,diciembre,12,2,151,165
2022,diciembre,12,5,162,164
2022,diciembre,12,6,159,153
2022,diciembre,12,7,155,134
2022,diciembre,12,9,50,49
2022,diciembre,12,12,156,152
2022,diciembre,12,13,163,157
2022,diciembre,12,14,168,154
2022,diciembre,12,15,154,152
2022,diciembre,12,16,155,127
2022,diciembre,12,19,117,116
2022,diciembre,12,20,122,105
2022,diciembre,12,21,115,100
2022,diciembre,12,22,116,102
2022,diciembre,12,23,104,63
2022,diciembre,12,26,86,77
2022,diciembre,12,27,83,78
2022,diciembre,12,28,87,80
2022,diciembre,12,29,76,42
2023,enero,1,2,70,63
2023,enero,1,3,70,59
2023,enero,1,4,78,72
2023,enero,1,5,77,70
2023,enero,1,6,65,61
2023,enero,1,10,80,78
2023,enero,1,11,90,76
2023,enero,1,12,90,82
2023,enero,1,13,92,90
2023,enero,1,16,129,118
2023,enero,1,17,130,115
2023,enero,1,18,139,119
2023,enero,1,19,138,113
2023,enero,1,20,128,106
